repository_relative_path,onedrive_folder,size_bytes,sha256,upload_required,priority,public_release_note,upload_priority,priority_reason,onedrive_target_relative_path,source_exists,git_tracked,link_from_publication_page,required_before_submission
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_05-08-39.mp4,01_original_videos/,86131110,b26497f625c544ad924cdb1409927daed606cb54e427f52a838ee3f1f0f0e94c,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_05-08-39.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_06-08-30.mp4,01_original_videos/,470010601,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_06-08-30.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_07-08-32.mp4,01_original_videos/,68412272,4dde510ff91c2ec58e1cd06e27cbd923d8976c0156905a4625097653415eca4e,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_07-08-32.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_08-08-50.mp4,01_original_videos/,146272337,fdddf28b79156ee114fdda4b93ff8719ffc14dd928127fd989c0648f5e914127,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_08-08-50.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_09-08-31.mp4,01_original_videos/,231315695,60bc755fbdc45873badb5637c8a9a7228880abb2954eb9cc911ff154b2da35f5,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_09-08-31.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_11-08-33.mp4,01_original_videos/,74165700,6cc98923b4c4cef029b352b9346819efa607b23041cc0e6a5f35dcb8980351fd,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_11-08-33.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_12-08-33.mp4,01_original_videos/,24816722,f53d6b706080e0d9bb587e9d254e57a3539ae22f04e54ce503f1572e894cc4a5,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_12-08-33.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_14-08-35.mp4,01_original_videos/,121601732,4d887bc10523c792053aa31b109fea44641b1a1e3f2e24d03864abae876d5b05,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_14-08-35.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_15-08-36.mp4,01_original_videos/,14674334,1389947c31ca3d82a53de86ebabc3a970e5b14f03cbb89fed7a5059ab916ca96,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_15-08-36.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_16-08-37.mp4,01_original_videos/,12180686,98e5316046263b5ead2684738b727bf7faf6ad7443dab06a25f437968035e4de,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_16-08-37.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_17-08-39.mp4,01_original_videos/,60807417,5202bf50e0c196131028fb53df74591f5dabbd062667197356037681742d4f1d,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_17-08-39.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_18-08-24.mp4,01_original_videos/,370717286,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_18-08-24.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_19-08-25.mp4,01_original_videos/,418407351,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_19-08-25.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_20-08-25.mp4,01_original_videos/,818248247,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_20-08-25.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_21-08-28.mp4,01_original_videos/,785781152,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_21-08-28.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_22-08-28.mp4,01_original_videos/,696119733,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_22-08-28.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_23-08-29.mp4,01_original_videos/,637763700,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_23-08-29.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_00-08-29.mp4,01_original_videos/,598175225,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_00-08-29.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_01-08-29.mp4,01_original_videos/,542568600,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_01-08-29.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_02-08-29.mp4,01_original_videos/,584357487,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_02-08-29.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_03-08-30.mp4,01_original_videos/,606876397,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_03-08-30.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_04-08-29.mp4,01_original_videos/,653012409,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_04-08-29.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_05-08-30.mp4,01_original_videos/,754633506,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_05-08-30.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_06-08-30.mp4,01_original_videos/,481654803,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_06-08-30.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_07-08-31.mp4,01_original_videos/,761005255,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_07-08-31.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_08-08-31.mp4,01_original_videos/,832614930,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_08-08-31.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_09-08-31.mp4,01_original_videos/,762633956,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_09-08-31.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_10-08-31.mp4,01_original_videos/,682782826,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_10-08-31.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_11-08-32.mp4,01_original_videos/,668945957,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_11-08-32.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_12-08-32.mp4,01_original_videos/,675577192,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_12-08-32.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_13-08-32.mp4,01_original_videos/,569566422,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_13-08-32.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_14-08-31.mp4,01_original_videos/,640424162,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_14-08-31.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_15-08-33.mp4,01_original_videos/,695726656,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_15-08-33.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_16-08-33.mp4,01_original_videos/,707055549,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_16-08-33.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_17-08-33.mp4,01_original_videos/,670193912,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_17-08-33.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_18-08-24.mp4,01_original_videos/,725653754,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_18-08-24.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_19-08-24.mp4,01_original_videos/,562233775,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_19-08-24.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_20-08-25.mp4,01_original_videos/,771199106,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_20-08-25.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_21-08-28.mp4,01_original_videos/,697682115,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_21-08-28.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_22-08-28.mp4,01_original_videos/,592134605,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_22-08-28.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_23-08-29.mp4,01_original_videos/,555848207,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_23-08-29.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-11_00-08-29.mp4,01_original_videos/,517268218,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-11_00-08-29.mp4,true,false,false,false
TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-11_01-08-29.mp4,01_original_videos/,448587688,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES,true,high,onedrive_large_data_only; exclude from git package,P1,large source or detector/tracker artifact for full technical reproducibility,01_original_videos/TNVD2_UPLOAD_PACKAGE/01_original_videos/data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-11_01-08-29.mp4,true,false,false,false
